weathersit,temp,cnt
1,0.755,4586
1,0.725,4966
1,0.6925,4460
1,0.635,5020
1,0.604167,4891
1,0.626667,5180
2,0.628333,3767
1,0.649167,4844
1,0.696667,5119
2,0.699167,4744
2,0.635,4010
2,0.680833,4835
1,0.733333,4507
2,0.728333,4790
1,0.724167,4991
1,0.695,5202
1,0.68,5305
2,0.6825,4708
1,0.744167,4648
1,0.728333,5225
1,0.696667,5515
1,0.7225,5362
1,0.738333,5119
2,0.716667,4649
2,0.726667,6043
1,0.746667,4665
1,0.72,4629
1,0.75,4592
2,0.709167,4040
1,0.733333,5336
1,0.7475,4881
1,0.7625,4086
1,0.794167,4258
1,0.746667,4342
1,0.680833,5084
1,0.663333,5538
1,0.686667,5923
1,0.719167,5302
1,0.746667,4458
1,0.776667,4541
1,0.768333,4332
2,0.815,3784
1,0.848333,3387
1,0.849167,3285
1,0.83,3606
1,0.743333,3840
1,0.771667,4590
1,0.775,4656
1,0.779167,4390
1,0.838333,3846
1,0.804167,4475
1,0.805833,4302
1,0.771667,4266
1,0.783333,4845
2,0.731667,3574
2,0.71,4576
1,0.710833,4866
2,0.716667,4294
1,0.7425,3785
1,0.765,4326
1,0.775,4602
1,0.766667,4780
1,0.7175,4792
1,0.708333,4905
2,0.685833,4150
2,0.676667,3820
1,0.665833,4338
1,0.700833,4725
1,0.723333,4694
1,0.711667,3805
2,0.685,4153
1,0.6975,5191
1,0.710833,3873
1,0.691667,4758
1,0.640833,5895
1,0.673333,5130
2,0.684167,3542
1,0.7,4661
2,0.68,1115
1,0.707059,4334
1,0.636667,4634
1,0.639167,5204
1,0.656667,5058
1,0.655,5115
2,0.643333,4727
1,0.669167,4484
1,0.709167,4940
2,0.673333,3351
3,0.54,2710
3,0.599167,1996
3,0.633913,1842
2,0.65,3544
1,0.66,5345
1,0.653333,5046
1,0.644348,4713
1,0.650833,4763
1,0.673333,4785
2,0.5775,3659
2,0.469167,4760
2,0.491667,4511
1,0.5075,4274
2,0.549167,4539
2,0.561667,3641
2,0.595,4352
2,0.628333,4795
2,0.609167,2395
2,0.606667,5423
2,0.634167,5010
2,0.649167,4630
2,0.636667,4120
2,0.635,3907
1,0.616667,4839
1,0.564167,5202
2,0.41,2429
2,0.356667,2918
2,0.384167,3570
1,0.484167,4456
1,0.538333,4826
1,0.494167,4765
1,0.510833,4985
1,0.521667,5409
1,0.540833,5511
1,0.570833,5117
2,0.566667,4563
3,0.543333,2416
2,0.589167,2913
2,0.550833,3644
1,0.506667,5217
1,0.511667,5041
1,0.534167,4570
2,0.5325,4748
3,0.541739,2424
1,0.475833,4195
1,0.4275,4304
1,0.4225,4308
1,0.421667,4381
1,0.463333,4187
1,0.471667,4687
2,0.484167,3894
2,0.47,2659
2,0.330833,3747
3,0.254167,627
1,0.319167,3331
1,0.34,3669
1,0.400833,4068
1,0.3775,4186
1,0.408333,3974
2,0.403333,4046
1,0.326667,3926
1,0.348333,3649
1,0.395,4035
1,0.408333,4205
1,0.4,4109
2,0.38,2933
1,0.324167,3368
1,0.356667,4067
1,0.440833,3717
1,0.53,4486
2,0.53,4195
3,0.456667,1817
2,0.341667,3053
1,0.274167,3392
1,0.329167,3663
2,0.463333,3520
3,0.4475,2765
3,0.416667,1607
2,0.440833,2566
1,0.373333,1495
1,0.375,2792
1,0.375833,3068
1,0.459167,3071
1,0.503478,3867
2,0.458333,2914
1,0.325,3613
1,0.3125,3727
1,0.314167,3940
1,0.299167,3614
1,0.330833,3485
2,0.385833,3811
3,0.4625,2594
3,0.41,705
1,0.265833,3322
1,0.290833,3620
1,0.275,3190
1,0.220833,2743
1,0.238333,3310
1,0.2825,3523
2,0.3175,3740
2,0.4225,3709
2,0.375,3577
2,0.258333,2739
1,0.238333,2431
1,0.276667,3403
2,0.385833,3750
2,0.428333,2660
2,0.423333,3068
1,0.373333,2209
1,0.3025,1011
1,0.274783,754
1,0.321739,1317
2,0.325,1162
1,0.29913,2302
1,0.248333,2423
1,0.311667,2999
1,0.41,2485
1,0.37,2294
1,0.273043,1951
1,0.15,2236
2,0.1075,2368
1,0.265833,3272
1,0.334167,4098
1,0.393333,4521
1,0.3375,3425
2,0.224167,2376
1,0.308696,3598
2,0.274167,2177
2,0.3825,4097
1,0.274167,3214
1,0.18,2493
1,0.166667,2311
1,0.19,2298
2,0.373043,2935
1,0.303333,3376
1,0.19,3292
2,0.2175,3163
2,0.173333,1301
2,0.1625,1977
2,0.218333,2432
1,0.3425,4339
1,0.294167,4270
2,0.341667,4075
2,0.425,3456
1,0.315833,4023
1,0.2825,3243
1,0.269167,3624
1,0.39,4509
1,0.469167,4579
2,0.399167,3761
1,0.313333,4151
2,0.264167,2832
2,0.265833,2947
1,0.282609,3784
1,0.354167,4375
2,0.256667,2802
1,0.265,3830
2,0.280833,3831
3,0.224167,2169
1,0.1275,1529
1,0.2225,3422
2,0.319167,3922
1,0.348333,4169
2,0.316667,3005
1,0.343333,4154
1,0.346667,4318
2,0.28,2689
1,0.28,3129
1,0.287826,3777
1,0.395833,4773
1,0.454167,5062
2,0.4075,3487
1,0.290833,2732
1,0.279167,3389
1,0.366667,4322
1,0.359167,4363
2,0.344348,1834
1,0.485833,4990
2,0.353333,3194
2,0.414167,4066
1,0.325833,3423
1,0.243333,3333
1,0.258333,3956
1,0.404167,4916
1,0.5275,5382
2,0.410833,4569
1,0.2875,4118
1,0.361739,4911
1,0.466667,5298
1,0.565,5847
1,0.5725,6312
1,0.5575,6192
2,0.435833,4378
2,0.514167,7836
2,0.4725,5892
1,0.545,6153
1,0.560833,6093
2,0.531667,6230
1,0.554167,6871
2,0.601667,8362
2,0.5025,3372
2,0.4375,4996
1,0.445833,5558
1,0.323333,5102
1,0.484167,5698
1,0.494167,6133
2,0.37,5459
2,0.424167,6235
2,0.425833,6041
1,0.433913,5936
1,0.466667,6772
1,0.541667,6436
1,0.435,6457
1,0.403333,6460
1,0.4375,6857
1,0.5,5169
1,0.489167,5585
1,0.446667,5918
1,0.348696,4862
1,0.3975,5409
1,0.4425,6398
1,0.495,7460
1,0.606667,7132
1,0.664167,6370
1,0.608333,6691
2,0.463333,4367
1,0.498333,6565
1,0.526667,7290
1,0.57,6624
3,0.396667,1027
2,0.321667,3214
1,0.413333,5633
1,0.476667,6196
2,0.498333,5026
1,0.4575,6233
2,0.376667,4220
1,0.458333,6304
2,0.464167,5572
2,0.613333,5740
1,0.564167,6169
2,0.56,6421
1,0.6275,6296
2,0.621667,6883
2,0.5625,6359
2,0.5375,6273
2,0.581667,5728
2,0.575,4717
1,0.505833,6572
1,0.533333,7030
1,0.564167,7429
1,0.6125,6118
2,0.573333,2843
2,0.611667,5115
1,0.636667,7424
1,0.593333,7384
1,0.564167,7639
1,0.6,8294
1,0.620833,7129
2,0.598333,4359
2,0.615,6073
2,0.621667,5260
1,0.655,6770
1,0.68,6734
1,0.6925,6536
1,0.69,6591
1,0.7125,6043
1,0.7225,5743
2,0.656667,6855
1,0.68,7338
2,0.654167,4127
1,0.583333,8120
1,0.6025,7641
1,0.5975,6998
2,0.540833,7001
1,0.554167,7055
1,0.6025,7494
1,0.649167,7736
1,0.710833,7498
1,0.726667,6598
2,0.720833,6664
2,0.653333,4972
1,0.655833,7421
1,0.648333,7363
1,0.639167,7665
1,0.631667,7702
1,0.5925,6978
2,0.568333,5099
1,0.688333,6825
1,0.7825,6211
1,0.805833,5905
1,0.7775,5823
1,0.731667,7458
1,0.743333,6891
1,0.715833,6779
1,0.630833,7442
1,0.6975,7335
1,0.749167,6879
1,0.834167,5463
1,0.765,5687
1,0.815833,5531
1,0.781667,6227
1,0.780833,6660
1,0.789167,7403
1,0.8275,6241
1,0.828333,6207
1,0.861667,4840
1,0.8225,4672
2,0.710833,6569
2,0.720833,6290
1,0.716667,7264
1,0.715833,7446
2,0.731667,7499
2,0.703333,6969
1,0.745833,6031
1,0.763333,6830
1,0.818333,6786
1,0.793333,5713
1,0.77,6591
2,0.665833,5870
3,0.595833,4459
2,0.6675,7410
1,0.741667,6966
1,0.750833,7592
1,0.724167,8173
1,0.776667,6861
1,0.781667,6904
1,0.755833,6685
1,0.721667,6597
1,0.730833,7105
1,0.713333,7216
1,0.7175,7580
1,0.7525,7261
2,0.765833,7175
1,0.793333,6824
1,0.769167,5464
2,0.7525,7013
2,0.735833,7273
2,0.75,7534
1,0.755833,7286
2,0.715833,5786
2,0.6925,6299
1,0.700833,6544
1,0.720833,6883
1,0.726667,6784
1,0.706667,7347
1,0.719167,7605
1,0.723333,7148
1,0.678333,7865
2,0.635833,4549
2,0.635833,6530
1,0.649167,7006
1,0.6675,7375
1,0.695833,7765
2,0.7025,7582
2,0.661667,6053
2,0.653333,5255
1,0.703333,6917
1,0.728333,7040
1,0.685,7697
1,0.706667,7713
1,0.764167,7350
2,0.753333,6140
2,0.696667,5810
1,0.7075,6034
1,0.725833,6864
1,0.736667,7112
2,0.696667,6203
1,0.703333,7504
2,0.659167,5976
1,0.61,8227
1,0.583333,7525
1,0.5775,7767
1,0.599167,7870
1,0.6125,7804
1,0.633333,8009
1,0.608333,8714
1,0.58,7333
2,0.580833,6869
2,0.623333,4073
1,0.5525,7591
1,0.546667,7720
1,0.599167,8167
1,0.65,8395
1,0.529167,7907
1,0.514167,7436
1,0.55,7538
1,0.635,7733
2,0.65,7393
2,0.619167,7415
1,0.5425,8555
1,0.526667,6889
2,0.520833,6778
3,0.590833,4639
2,0.6575,7572
2,0.6575,7328
1,0.615,8156
1,0.554167,7965
2,0.415833,3510
2,0.383333,5478
2,0.446667,6392
1,0.514167,7691
1,0.435,7570
1,0.4375,7282
1,0.393333,7109
1,0.521667,6639
2,0.561667,5875
1,0.468333,7534
1,0.455833,7461
2,0.5225,7509
2,0.563333,5424
1,0.484167,8090
1,0.464167,6824
1,0.4875,7058
1,0.544167,7466
1,0.5875,7693
2,0.55,7359
2,0.545833,7444
2,0.53,7852
2,0.4775,4459
3,0.44,22
2,0.318182,1096
2,0.3575,5566
2,0.365833,5986
1,0.355,5847
2,0.343333,5138
1,0.325833,5107
1,0.319167,5259
1,0.280833,5686
2,0.295833,5035
1,0.352174,5315
1,0.361667,5992
1,0.389167,6536
1,0.420833,6852
1,0.485,6269
2,0.343333,4094
1,0.289167,5495
2,0.321667,5445
1,0.345,5698
1,0.325,5629
1,0.3425,4669
2,0.380833,5499
2,0.374167,5634
1,0.353333,5146
1,0.34,2425
1,0.368333,3910
1,0.278333,2277
1,0.245833,2424
1,0.313333,5087
2,0.291667,3959
1,0.296667,5260
1,0.28087,5323
1,0.298333,5668
2,0.298333,5191
2,0.3475,4649
1,0.4525,6234
1,0.475833,6606
1,0.438333,5729
1,0.255833,5375
2,0.320833,5008
2,0.381667,5582
2,0.384167,3228
2,0.435833,5170
2,0.353333,5501
2,0.2975,5319
1,0.295833,5532
1,0.281667,5611
1,0.324167,5047
2,0.3625,3786
2,0.393333,4585
1,0.410833,5557
1,0.3325,5267
2,0.33,4128
2,0.326667,3623
1,0.265833,1749
1,0.245833,1787
2,0.231304,920
2,0.291304,1013
3,0.243333,441
2,0.254167,2114
2,0.253333,3095
2,0.253333,1341
1,0.255833,1796
2,0.215833,2729
